selected_oewn_synset	surface	surface_key	mean_frequency	max_frequency	nonzero_years	year_start	year_end	corpus	smoothing	case_insensitive	query_url	status
oewn-00043495-n	departure	departure	1.63081014195e-05	1.74607208061e-05	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00043495-n	going	going	0.000336499065912	0.000465766223166	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00043495-n	leaving	leaving	6.39723928595e-05	8.06018244773e-05	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00059157-n	boarding	boarding	5.23629865194e-06	5.78578471539e-06	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00059157-n	embarkment	embarkment	7.29947116328e-09	1.38425013674e-08	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00115251-n	pull	pull	3.46943209506e-05	4.75133127502e-05	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00115251-n	pulling	pulling	2.0596075653e-05	3.20191740915e-05	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00130137-n	chop	chop	3.07847008028e-06	3.88408958979e-06	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00130137-n	chopper	chopper	1.46453020691e-06	2.04541231607e-06	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00137149-n	kick	kick	1.02359557925e-05	1.43019297755e-05	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
