raw	canonical	source	notes
light	light	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
rocky	rocky	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_attribute_compatible_synset
distant	distant	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
glass	glass	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
visible	visible	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
striped	striped	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
light-colored	light-colored	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
calm	calm	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
lit	lit	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_attribute_compatible_synset
soft	soft	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
ornate	ornate	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
overall	overall	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
bare	bare	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_overrode_auto_selection
faint	faint	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_overrode_auto_selection
concrete	concrete	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
decorative	decorative	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
dirt	dirt	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
dry	dry	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
open	open	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
overcast	overcast	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
blurred	blurred	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_attribute_compatible_synset
circular	circular	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
city	city	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accepted_broad_modifier_policy
natural	natural	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
bottom	bottom	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accepted_broad_modifier_policy
young	young	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
scattered	scattered	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_attribute_compatible_synset
wide	wide	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
formal	formal	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
textured	textured	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
beige	beige	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_attribute_compatible_synset
dense	dense	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_attribute_compatible_synset
silver	silver	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_attribute_compatible_synset
more	more	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
arched	arched	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
thin	thin	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
curved	curved	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
top	top	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
upper	upper	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_attribute_compatible_synset
warm	warm	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
many	many	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
smaller	smaller	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
framed	framed	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
modern	modern	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
far	far	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
golden	golden	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_attribute_compatible_synset
vertical	vertical	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
tiled	tiled	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
plain	plain	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_attribute_compatible_synset
weathered	weathered	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
gold	gold	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
parked	parked	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
sandy	sandy	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_attribute_compatible_synset
narrow	narrow	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
floral	floral	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_attribute_compatible_synset
glowing	glowing	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_attribute_compatible_synset
matching	matching	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_attribute_compatible_synset
stage	stage	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
black-and-white	black and white	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_by_wn30_lemma_count_unique_positive_max; decision_reason=selected_attribute_compatible
few	few	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
wet	wet	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
multiple	multiple	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
lush	lush	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_selected_synset
lower	lower	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_overrode_auto_selection
old	old	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
handwritten	handwritten	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
sunny	sunny	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_selected_synset
snowy	snowy	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_attribute_compatible_synset
round	round	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
thick	thick	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
plaid	plaid	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
grass	grass	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accepted_broad_modifier_policy
short	short	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
similar	similar	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
fallen	fallen	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_attribute_compatible_synset
blonde	blonde	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
plastic	plastic	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
rough	rough	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
central	central	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
vintage	vintage	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_corrected_synset
overhead	overhead	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
casual	casual	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_attribute_compatible_synset
traditional	traditional	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
intricate	intricate	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
front	front	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
ancient	ancient	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_selected_synset
shallow	shallow	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
detailed	detailed	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
painted	painted	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
vibrant	vibrant	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_selected_synset
forested	forested	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
potted	potted	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_selected_synset
rectangular	rectangular	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_attribute_compatible_synset
