raw	canonical	source	notes
lone	lone	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_selected_synset
u.s.	U.S.	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
airplane	airplane	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
flag	flag	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
star	star	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_shape_attribute_synset
presentation	presentation	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_overrode_auto_selection
blurry	blurry	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
interior	interior	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
lane	lane	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
brazilian	Brazilian	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
back	back	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
translucent	translucent	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
frozen	frozen	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
partial	partial	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
cricket	cricket	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
motion	motion	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
mechanical	mechanical	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
numerous	numerous	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
neutral	neutral	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
beach	beach	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
human	human	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
beaded	beaded	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
focused	focused	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
leafless	leafless	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
uniformed	uniformed	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
book	book	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
feathered	feathered	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_selected_synset
temple	temple	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
wavy	wavy	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
sliced	sliced	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_selected_synset
cliff	cliff	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
loose	loose	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
fuzzy	fuzzy	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_selected_synset
gold-colored	gold-colored	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
suit	suit	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
twisted	twisted	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
garage	garage	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
rainbow	rainbow	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accepted_broad_modifier_policy
hand	hand	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
trimmed	trimmed	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_attribute_compatible_synset
middle	middle	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
rustic	rustic	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
text	text	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
twilight	twilight	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
rural	rural	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
game	game	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
railway	railway	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
table	table	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_corrected_synset
worn	worn	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
bald	bald	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
picnic	picnic	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
center	center	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_corrected_synset
graduation	graduation	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
pine	pine	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
exhibition	exhibition	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accepted_broad_modifier_policy
full	full	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
khaki	khaki	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_attribute_compatible_synset
model	model	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_corrected_synset
american	American	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
brownish	brownish	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
foggy	foggy	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_selected_synset
airport	airport	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
overgrown	overgrown	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
track	track	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
art	art	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
symmetrical	symmetrical	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
video	video	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_selected_synset
animal	animal	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
baseball	baseball	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
silhouetted	silhouette	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_corrected_synset
diagonal	diagonal	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
elderly	elderly	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
support	support	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
bamboo	bamboo	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
corrugated	corrugated	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
residential	residential	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
broad	broad	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
folded	fold	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
draped	draped	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
illustrated	illustrate	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_corrected_synset
goal	goal	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
sparkly	sparkly	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
yellowish	yellowish	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
equestrian	equestrian	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
recent	recent	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
sunset	sunset	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_selected_synset
damaged	damaged	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_selected_synset
cherry	cherry	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
indistinct	indistinct	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
fading	fading	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
roof	roof	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accepted_broad_modifier_policy
spiral	spiral	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
floating	floating	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
yellowed	yellowed	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_by_unique_observed_span_surface; decision_reason=manual_attribute_synset_selected
earthy	earthy	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_selected_synset
scientific	scientific	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
spacious	spacious	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
fresh	fresh	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
leaf	leaf	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
star-shaped	star-shaped	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
hockey	hockey	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_conditional_modifier_synset
massive	massive	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
play	play	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
elaborate	elaborate	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_corrected_synset
parking	parking	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_conditional_modifier_synset
mountainous	mountainous	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
embroidered	embroider	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
man-made	man-made	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
sponsor	sponsor	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
wrapped	wrapped	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
cluttered	cluttered	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
pearl	pearl	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
window	window	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
ambient	ambient	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
gift	gift	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
projector	projector	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
ground	ground	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
advertising	advertising	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
warning	warning	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accepted_broad_modifier_policy
heart-shaped	heart-shaped	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
palm	palm	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
roller	roller	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_overrode_auto_selection
cycling	cycling	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
bar	bar	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
lion	lion	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accepted_broad_modifier_policy
standing	standing	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
stainless	stainless	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_selected_synset
team	team	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
tile	tile	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
exit	exit	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
hooded	hood	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_corrected_synset
pinstripe	pinstripe	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
serious	serious	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
botanical	botanical	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
classroom	classroom	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
arid	arid	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
structural	structural	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
arena	arena	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
santa	Santa	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
braided	braided	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
coiled	coiled	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
lighting	lighting	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_by_wn30_lemma_count_unique_positive_max; decision_reason=manual_attribute_synset_selected
